Link,Price,Date,Text,Location,Area,Rooms,Located Floor,Number of Floors,Repair,Document
https://emlak.az/976268-satilir-3-otaqli-1052-m2-yeni-tikili-baki-dovlet-universiteti.html,['263 000'],13.12.2024,"['Bakı Dövlət Universitetinin yaninda yerləşən Elite City kompleksinde tam təmirli, çıxarışlı mansard mənzillər!  3 otaq studia son 2 mənzil qalıb! 17 mərtəbənin 17sidir.Təmirdən sonra yaşayış olmayıb. Həyətdə uşaq meydançası, bisetkalar var. Tək bloku olan korpusdadir. Əlavə məlumat üçün  əlaqə saxlamanız xahiş olunur.']",['Ünvan: Əhməd Cəmil 23'],105.2 m2,3,17,17,Yaxşı təmirli,Çıxarış (Kupça)
https://emlak.az/1016051-satilir-3-otaqli-148-m2-yeni-tikili-elmler-akademiyasi-m.html,['326 000'],13.12.2024,"['Elite City yaşayış kompleksinin  mansardında yerləşən  mənzilin hazır dizayn kataloqu da var. Lift mərtəbəyə qalxır, mənzilin hündürlüyü 3,3 -3,8m arasında dəyişir. BDU yaxınlığı, 53 saylı məktəblə üzbəüz  yerləşən bina Elmlər Akademiyası metrosundan 3deq-lik məsafədədir.']",['Ünvan: Zahid Xəlilov 30 A'],148 m2,3,17,17,Təmirsiz,Çıxarış (Kupça)
https://emlak.az/1157478-satilir-1-otaqli-6512-m2-yeni-tikili-yasamal-r.html,['227 920'],13.12.2024,"['""Nizami City"" –nin 1ci ABC mərhələsi hazırdır, 2ci mərhələsi- EFG binalarında satışı davam edir. 9 binadan ibarət kompleks Nizami mt.s-nın yaxınlığındadır. 9 yaşayış mərtəbəsi, qapalı həyət və keramoqranit fasada malik kompleksdə sakinlərin rahatçılığı üçün hər bir detal düşünülmüşdür. Siz də kompleksdən mənzil əldə etmək istəyirsinizsə satış ofisinə yaxınlaşmağınız kifayətdir.24 ayadək daxili kredit imkanları var.']","['Ünvan: Yasamal r-nu, M.Muxtarov, İ.Ebilov, C.Qaryağdıoğlu və F.İbrahimbəyov küçələrinin kəsişməsi']",65.12 m2,1,4,9,Təmirsiz,Müqavilə
https://emlak.az/1122541-satilir-4-otaqli-1134-m2-yeni-tikili-zig.html,['170 100'],13.12.2024,"['Mayak Residence - Bakı şəhərinin yeni simvolu olmaqda iddialı, premium həyat standartlı, eyni zamanda həm göl, həm də dəniz mənzərəsi olan ilk və tək yaşayış kompleksidir. Mayak Residence layihəsi, tikinti bazarında öz sözünü demiş iki şirkətin – “Melissa Group” və “Minera Group”-un birgə əməkdaşlıq layihəsidir.Müştərilərə hər mərtəbədə 6 mənzil olmaqla, 1, 2, 3 və 4 otaqlı əsas və studiya versiyalarda mənzillər təklif olunur. Minimum kvadrat itkisi ilə mənzillərdə sərbəst planlama, teraslı, dubleks və bağçalı mənzil seçimləri təqdim olunacaqdır. “360 dərəcə” həyat tərzini vəd edən yaşayış kompleksinin sakini olmaqla, iş, yaşam, əyləncə və sosial həyatınız arasındakı tarazlığı qoruya biləcək və həyat standartınızdakı yüksəlişi hiss edəcəksiniz. Tıxac problemi yaşamadan vaxtında evinizdə olmaq həyatınızın ən böyük şansı olacaqdır.Kompleksin şəhərin strateji məntəqələrinə yaxınlığı əsas üstün cəhətlərindəndir.LayihəHəzi Aslanov metrosuna – 6 kmAğ Şəhərə - 10 kmSahil metrosuna – 15 kmHava limanına – 20 kmTürkan çimərliyinə - 15 km məsafədə yerləşir.59 blokdan ibarət olan meqa yaşayış kompleksi 4 böyük massivdən ibarətdir. Ümumi 30 hektara yaxın ərazini əhatə edən şəhərciyin 7 hektar açıq, 14 hektar qapalı parkı var. Kompleks ərazisində məktəb, uşaq bağçası, açıq ticarət mərkəzi zonası, luna park, amfiteatr, fitness-spa mərkəzi, açıq və qapalı hovuzlar, 11 futbol meydançası, voleybol və tennis meydançaları, 5 km.-lik kompleks daxili velosipfed zolağı, 20 dekorativ hovuz, meyvə bağları, piknik zonası və bir çox ictimai sosial obyektlər planlaşdırılıb. Kone liftlər və aliminium pəncərə sistemləri ilə təchiz olunacaq binaların fasadında premium markalı daş yunu və keramoqranitdən istifadə olunacaq.Bakı şəhəri, Suraxanı rayonu, Hətəm Allahverdiyev küçəsi 78 ünvanında yerləşən Mayak Residence layihəsi, blok 5 binasında sahəsi 113.4 kv.m təşkil edən 4 otaq studiya mənzil satılır.Nağd satış şərtləri:- 1 kv.m nağd qiyməti 1.500 AZN- Nağd satış zamanı mənzilin ümumi dəyəri 170.100 AZN']","['Ünvan: Suraxanı rayonu, Hətəm Allahverdiyev küç. 78']",113.4 m2,4,11,14,Təmirsiz,Müqavilə
https://emlak.az/1122546-satilir-4-otaqli-1172-m2-yeni-tikili-zig.html,['210 960'],13.12.2024,"['Mayak Residence - Bakı şəhərinin yeni simvolu olmaqda iddialı, premium həyat standartlı, eyni zamanda həm göl, həm də dəniz mənzərəsi olan ilk və tək yaşayış kompleksidir. Mayak Residence layihəsi, tikinti bazarında öz sözünü demiş iki şirkətin – “Melissa Group” və “Minera Group”-un birgə əməkdaşlıq layihəsidir.Müştərilərə hər mərtəbədə 6 mənzil olmaqla, 1, 2, 3 və 4 otaqlı əsas və studiya versiyalarda mənzillər təklif olunur. Minimum kvadrat itkisi ilə mənzillərdə sərbəst planlama, teraslı, dubleks və bağçalı mənzil seçimləri təqdim olunacaqdır. “360 dərəcə” həyat tərzini vəd edən yaşayış kompleksinin sakini olmaqla, iş, yaşam, əyləncə və sosial həyatınız arasındakı tarazlığı qoruya biləcək və həyat standartınızdakı yüksəlişi hiss edəcəksiniz. Tıxac problemi yaşamadan vaxtında evinizdə olmaq həyatınızın ən böyük şansı olacaqdır.Kompleksin şəhərin strateji məntəqələrinə yaxınlığı əsas üstün cəhətlərindəndir.LayihəHəzi Aslanov metrosuna – 6 kmAğ Şəhərə - 10 kmSahil metrosuna – 15 kmHava limanına – 20 kmTürkan çimərliyinə - 15 km məsafədə yerləşir.59 blokdan ibarət olan meqa yaşayış kompleksi 4 böyük massivdən ibarətdir. Ümumi 30 hektara yaxın ərazini əhatə edən şəhərciyin 7 hektar açıq, 14 hektar qapalı parkı var. Kompleks ərazisində məktəb, uşaq bağçası, açıq ticarət mərkəzi zonası, luna park, amfiteatr, fitness-spa mərkəzi, açıq və qapalı hovuzlar, 11 futbol meydançası, voleybol və tennis meydançaları, 5 km.-lik kompleks daxili velosipfed zolağı, 20 dekorativ hovuz, meyvə bağları, piknik zonası və bir çox ictimai sosial obyektlər planlaşdırılıb. Kone liftlər və aliminium pəncərə sistemləri ilə təchiz olunacaq binaların fasadında premium markalı daş yunu və keramoqranitdən istifadə olunacaq.Bakı şəhəri, Suraxanı rayonu, Hətəm Allahverdiyev küçəsi 78 ünvanında yerləşən Mayak Residence layihəsi, blok 2 binasında sahəsi 117.2 kv.m təşkil edən 4 otaqlı mənzil satılır.Nağd satış şərtləri:- 1 kv.m nağd qiyməti 1.800 AZN- Nağd satış zamanı mənzilin ümumi dəyəri 210.960 AZN']","['Ünvan: Suraxanı rayonu, Hətəm Allahverdiyev küç. 78']",117.2 m2,4,5,14,Əla təmirli,Müqavilə
https://emlak.az/1175478-satilir-3-otaqli-156-m2-yeni-tikili-huseyn-cavid-parki.html,['425 000'],12.12.2024,"['PREMIUM YAŞAYIŞ KOMPLEKSİ..! YAsamal ray. Elmlər Akademiyası m/s və Hüseyn Cavid parkına yaxın məsafədə Nərimanov heykəlinin arxasında yerləşən PREMIUM YAŞAYIŞ KOMPLEKSde 21/13 mertebede 148kvm 3 otaqli SUper Təmirli MƏNzil satılır. Mənzil keyfiyyətli material və aksessuarlarla təmir olunub . Geniş hündür tavanlı otaqlar, vitraj pəncərələr. Sürətli liftləri, yeraltı qarajı, sakit təmiz həyəti, maşın saxlamaq üçün parkingi var, 24 saat mühafizə, reception xidməti.var']",['Ünvan: İsmayıl bəy Qutqaşınlı küçəsi'],156 m2,3,13,18,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1181850-satilir-3-otaqli-100-m2-yeni-tikili-ehmedli.html,['229 500'],12.12.2024,"['Mənzil Bakı şəhəri Xətai rayonu Əhmədli qəsəbəsi, 7 nömrəli poliknika yanında,16 mərtəbəli binanın 12-ci mərtəbəsində yerləşir.Qanuni 3 otaqlı, sahəsi 100 m² (çıxarışda 87 m²), qaz, su, işıq daimi, sənədi çıxarış (kupça) olan yeni tikili, tam təmirli, əşyalı mənzil satılır. Mənzilin yerləşdiyi bina tam müşahidə kameraları altındadır, 2 lifti mövcuddur, yelçəkəndir. Bina çox əlverişli yerdə yerləşir. Xalqlar metrosuna 15 dəqiqəlik piyada məsafədədir. Yaxınlığında avtobus dayanacaqları,məktəblər, bağça, poliknika və digər iaşə obyektləri mövcuddur.Mənzil özümə məxsusdur.Ətraflı məlumat üçün əlaqə saxlayın.Xahiş edirəm, real alıcılar buyursun.Qiymət: 229.500 AZN']","['Ünvan: Əhmədli qəsəbəsi, 7 nömrəli poliknika yanı']",100 m2,3,12,16,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1175237-satilir-2-otaqli-64-m2-yeni-tikili-sah-ismayil-xetai-m.html,['260 000'],12.12.2024,"['Təcili Xətai metrosu yaxınlıgı, ürəklər parkının yanı, Retro Palas, çox səviyyəli kompleksdə yerləşən gözəl şəhər (Heydər Əliyem mərkəzinə baxan) mənzərəli mənzil satılır.Mənzil tam və yüksək səviyyədə təmir olunub,mənzil türk istehsalı Kilim markalı mebellə təmin olunub. Mənzildə kondisioner, qabyuyan, paltaryuyan, televizor, soyuducu bir sözlə yaşamaq üçün hər bir rahatçılıq var.Hal hazırda 1000 Azn-ə kirayədədir. Binanın yeraltı 2 mərtəbəli qarajı və həyətində parkovkası var.Sigma markalı 2 ədəd lifti və 24 saat mühafizə var.Mənzil tam əşyalı satılır.']",['Ünvan: Xocalı pr.'],64 m2,2,11,20,Əla təmirli,Çıxarış (Kupça)
https://emlak.az/1179168-satilir-2-otaqli-55-m2-yeni-tikili-sah-ismayil-xetai-m.html,['190 000'],12.12.2024,['Bakı Lüks Tikinti tərəfindən tikilmiş “BOULEWARD TOWER” ResidenceMənzil: Təmirli və ƏşyalıSənəd: MüqaviləMərtəbə: 9Otaq: Sudio 2 OtaqlıSahə: 55 KvBaxış: Dənizə baxırLift: 2 (sərnişin və yükdaçıma)Xidmət haqqı: 1%'],['Ünvan: Natiq Əliyev küç'],55 m2,2,9,17,Əla təmirli,Müqavilə
https://emlak.az/1174868-satilir-3-otaqli-140-m2-yeni-tikili-sah-ismayil-xetai-m.html,['350 000'],12.12.2024,"['SATIŞDA İPOTEKAYA YARARLI MƏNZİL! Xətai metrosunun yanı, S.Vəzirov küçəsində, TAM YAŞAYIŞLI, QAZLI, KUPÇALI YENİ TİKİLİDƏ, 3 otaqlı ƏŞYALI tam mənzil satılır. YELÇƏKƏNDİR. Ümumi sahəsi 140 kv.m.(KUPÇADA). 17/15. Geniş, hündür tavanlı otaqlar, döşəmə parket, böyük mətbəxi, quraşdırılmış mətbəx mebeli, 2 sanitar qovşağı , vanna otaqı-aksessuarlarıyla, daimi qazı, işıqı, suyu, kombi istilik sistemi, səssiz, sürətli liftləri, yeraltı dayanacağı, 24 saat mühafizə olunan böyük həyəti.. Tam infrastrukturlu ərazi. Daha ətraflı elanda qeyd olunan nömrəylə əlaqə saxlaya bilərsiniz.']",['Ünvan: S.Vəzirov küçəsi'],140 m2,3,15,16,Əla təmirli,Çıxarış (Kupça)
